method,source
/smallsql/database/SSStatement/setFetchDirection(int),"[""final public void setFetchDirection(int direction) throws SQLException{"",""        checkStatement();"",""        fetchDirection = direction;"",""    }""]"
"/smallsql/database/Store/getLong(int,int)","[""abstract long getLong( int offset, int dataType) throws Exception;""]"
/smallsql/database/ExpressionArithmetic/getDouble(),"[""double getDouble() throws java.lang.Exception {"",""        if(isNull()) return 0;"",""        int dataType = getDataType();"",""        switch(dataType){"",""            case SQLTokenizer.BIT:"",""            case SQLTokenizer.BOOLEAN:"",""\t\t\t\treturn getBoolean() ? 1 : 0;"",""            case SQLTokenizer.TINYINT:"",""            case SQLTokenizer.SMALLINT:"",""            case SQLTokenizer.INT:"",""\t\t\t\treturn getIntImpl();"",""            case SQLTokenizer.BIGINT:"",""                return getLongImpl();"",""\t\t\tcase SQLTokenizer.REAL:"",""                return getFloatImpl();"",""\t\t\tcase SQLTokenizer.FLOAT:"",""\t\t\tcase SQLTokenizer.DOUBLE:"",""            case SQLTokenizer.MONEY:"",""            case SQLTokenizer.SMALLMONEY:"",""            case SQLTokenizer.NUMERIC:"",""            case SQLTokenizer.DECIMAL:"",""                return getDoubleImpl();"",""        }"",""\t\tthrow createUnspportedConversion( SQLTokenizer.DOUBLE);"",""    }""]"
/smallsql/database/Expression/getInt(),"[""abstract int getInt() throws Exception;""]"
/smallsql/junit/TestLanguage/testBogusLocale(),"[""/**"",""\t * In case of wrong Locale, Language picks up the one corresponding to the"",""\t * the current Locale.\<br\>"",""\t */"",""\tpublic void testBogusLocale() throws SQLException {"",""\t\tLocale origLocale = Locale.getDefault();"",""\t\tLocale.setDefault(Locale.ITALY);"",""\t\t"",""\t\tConnection conn = AllTests.createConnection(\""?locale=XXX\"", null);"",""\t\tStatement stat = conn.createStatement();"","""",""\t\ttry {"",""\t\t\trecreateTestTab(stat);"",""\t\t\t"",""\t\t\tstat.execute(\""CREATE TABLE \"" + TABLE_NAME + \"" (id_test INT)\"");"",""\t\t\tfail();"",""\t\t}"",""\t\tcatch (SQLException e) {"",""\t\t\tassertMessage(e, \""La tabella/vista \'\"" + TABLE_NAME + \""\' è già esistente.\"");"",""\t\t}"",""\t\tfinally {"",""\t\t\tLocale.setDefault(origLocale);"",""\t\t\tconn.close();"",""\t\t}"",""\t}""]"
"/smallsql/database/Utils/createLobFileName(smallsql.database.Database,java.lang.String)","[""static String createLobFileName(Database database, String name){"",""\t\treturn database.getName() + \'/\' + name + LOB_EXTENTION;"",""\t}""]"
/smallsql/database/UnionAll/next(),"[""final boolean next() throws Exception {"",""\t\tboolean n = currentDS.next();"",""\t\trow++;"",""\t\tif(n) return true;"",""\t\twhile(dataSources.size() \> dataSourceIdx+1){"",""\t\t\tcurrentDS = dataSources.get(++dataSourceIdx);"",""\t\t\tcurrentDS.beforeFirst();"",""\t\t\tn = currentDS.next();"",""\t\t\tif(n) return true;"",""\t\t}"",""\t\trow = 0;"",""\t\treturn false;"",""\t}""]"
/smallsql/junit/TestGroupBy/init(),"[""public void init(){"",""\t\tif(init) return;"",""\t\ttry{"",""\t\t\tConnection con = AllTests.getConnection();"",""\t\t\tdropTable( con, table1 );"",""\t\t\tStatement st = con.createStatement();"",""\t\t\tst.execute(\""create table \"" + table1 + \""(name varchar(30), id int )\"");"",""\t\t\t//st.execute(\""create table \"" + table2 + \""(c \"" + testValue.dataType +\"", d \"" + testValue.dataType + \"")\"");"",""\t\t\t//st.execute(\""create table \"" + table3 + \""(c \"" + testValue.dataType +\"", d \"" + testValue.dataType + \"")\"");"",""\t\t\tst.close();"",""\t\t\tPreparedStatement pr = con.prepareStatement(\""INSERT into \"" + table1 + \""(name, id) Values(?,?)\"");"",""\t\t\tpr.setString( 1, STR_VALUE1);"",""\t\t\tpr.setInt( 2, 1 );"",""\t\t\tpr.execute();"",""\t\t\tpr.setString( 1, STR_VALUE1);"",""\t\t\tpr.setInt( 2, 2 );"",""\t\t\tpr.execute();"",""\t\t\tpr.setString( 1, STR_VALUE1);"",""\t\t\tpr.setNull( 2, Types.INTEGER );"",""\t\t\tpr.execute();"",""\t\t\tpr.setString( 1, STR_VALUE2);"",""\t\t\tpr.setInt( 2, 1 );"",""\t\t\tpr.execute();"","""",""\t\t\tpr.close();"","""",""\t\t\tinit = true;"",""\t\t}catch(Throwable e){"",""\t\t\te.printStackTrace();"",""\t\t}"",""\t}""]"
/smallsql/database/SSDatabaseMetaData/allProceduresAreCallable(),"[""public boolean allProceduresAreCallable() {"",""    \treturn true;"",""    }""]"
/smallsql/database/ExpressionArithmetic/getOperationFromToken(int),"[""static int getOperationFromToken( int value ){"",""        switch(value){"",""            case SQLTokenizer.PLUS:         return ADD;"",""            case SQLTokenizer.MINUS:        return SUB;"",""            case SQLTokenizer.ASTERISK:     return MUL;"",""            case SQLTokenizer.SLACH:        return DIV;"",""            case SQLTokenizer.PERCENT:      return MOD;"",""            case SQLTokenizer.EQUALS:       return EQUALS;"",""            case SQLTokenizer.GREATER:      return GREATER;"",""            case SQLTokenizer.GREATER_EQU:  return GRE_EQU;"",""            case SQLTokenizer.LESSER:       return LESSER;"",""            case SQLTokenizer.LESSER_EQU:   return LES_EQU;"",""            case SQLTokenizer.UNEQUALS:     return UNEQUALS;"",""            case SQLTokenizer.BETWEEN:      return BETWEEN;"",""            case SQLTokenizer.LIKE:         return LIKE;"",""            case SQLTokenizer.IN:           return IN;"",""\t\t\tcase SQLTokenizer.IS:           return ISNULL;"",""            case SQLTokenizer.OR:           return OR;"",""            case SQLTokenizer.AND:          return AND;"",""            case SQLTokenizer.NOT:          return NOT;"",""            case SQLTokenizer.BIT_OR:       return BIT_OR;"",""            case SQLTokenizer.BIT_AND:      return BIT_AND;"",""            case SQLTokenizer.BIT_XOR:      return BIT_XOR;"",""            case SQLTokenizer.TILDE:        return BIT_NOT;"",""            default:                        return 0;"",""        }"",""    }""]"
