method,vector
|java+method:///smallsql/database/SSStatement/setFetchDirection(int)|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/Store/getLong(int,int)|","[1,1,0,2,0,0]"
|java+method:///smallsql/database/ExpressionArithmetic/getDouble()|,"[25,23,2,1,1,2]"
|java+method:///smallsql/database/Expression/getInt()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/junit/TestLanguage/testBogusLocale()|,"[25,14,11,1,4,4]"
"|java+method:///smallsql/database/Utils/createLobFileName(smallsql.database.Database,java.lang.String)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/UnionAll/next()|,"[13,11,2,1,4,2]"
|java+method:///smallsql/junit/TestGroupBy/init()|,"[31,25,6,1,4,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/allProceduresAreCallable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getOperationFromToken(int)|,"[27,25,2,1,0,2]"
|java+method:///smallsql/database/DataSource/init(smallsql.database.SSConnection)|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/StoreImpl/resizePage(int)|,"[6,5,1,1,3,1]"
|java+method:///smallsql/database/Index/clear()|,"[11,2,9,1,0,1]"
|java+constructor:///smallsql/database/Index/Index(smallsql.database.IndexNode)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/junit/BasicTestCase/printSQL(java.lang.String)|,"[6,5,1,1,3,1]"
|java+method:///smallsql/database/UnionAll/getMoney(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsLikeEscapeClause()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsANSI92FullSQL()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/ownUpdatesAreVisible(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/cancel()|,"[4,2,2,1,0,1]"
|java+method:///smallsql/database/MemoryResult/rowDeleted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getDoubleImpl()|,"[5,4,1,1,0,1]"
"|java+method:///smallsql/database/Command/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)|","[1,1,0,2,0,0]"
|java+method:///smallsql/database/MutableDouble/intValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DateTime/parse(java.lang.String)|,"[119,91,28,1,33,23]"
"|java+method:///smallsql/junit/TestFunctions/a(java.lang.String,java.lang.Object)|","[6,5,1,2,3,1]"
|java+method:///smallsql/junit/TestExceptionMethods/testDuplicatedColumnAlter()|,"[15,12,3,1,2,5]"
|java+method:///smallsql/database/SSCallableStatement/getInt(int)|,"[9,7,2,1,2,3]"
"|java+method:///smallsql/database/StoreImpl/getLong(int,int)|","[63,58,5,1,3,3]"
"|java+constructor:///smallsql/database/ForeignKey/ForeignKey(java.lang.String,smallsql.database.IndexDescription,java.lang.String,smallsql.database.IndexDescription)|","[6,5,1,4,4,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getString()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/getGeneratedKeyIndexes()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Command/execute(smallsql.database.SSConnection,smallsql.database.SSStatement)|","[11,9,2,2,1,4]"
|java+method:///smallsql/database/RowSource/isLast()|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/SSStatement/execute(java.lang.String)|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SQLParser/function(smallsql.database.Command,smallsql.database.SQLToken,boolean)|","[376,349,27,3,228,13]"
|java+method:///smallsql/database/ViewResult/isBeforeFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampAdd/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Money/getImmutableObject()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/storesLowerCaseIdentifiers()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/Index/Index(boolean)|,"[7,2,5,1,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsNamedParameters()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getBytes(java.lang.String)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/getTime(int,java.util.Calendar)|","[4,1,3,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTan/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/SSResultSetMetaData/getSchemaName(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionBitLen/getInt()|,"[7,4,3,1,1,1]"
|java+method:///smallsql/database/SSStatement/executeImpl(java.lang.String)|,"[17,15,2,1,6,3]"
|java+method:///smallsql/database/TableViewResult/deleteRow()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/StoreImpl/loadUpdatedStore()|,"[11,5,6,1,2,1]"
"|java+method:///smallsql/database/TableView/load(smallsql.database.SSConnection,smallsql.database.Database,java.lang.String)|","[40,33,7,3,7,8]"
"|java+constructor:///smallsql/database/SSSavepoint/SSSavepoint(int,java.lang.String,long)|","[5,4,1,3,3,1]"
|java+method:///smallsql/database/ExpressionFunctionCot/getDouble()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Join/createJoinScrollIndex()|,"[25,14,11,1,5,5]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_varchar_desc()|,"[26,19,7,1,7,3]"
|java+method:///smallsql/database/RowSource/absolute(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnString/getBoolean()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getUnicodeStream(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/ExpressionFunction/createUnspportedConversion(int)|,"[11,6,5,1,1,2]"
|java+method:///smallsql/database/MemoryResult/updateRow(smallsql.database.Expression%5B%5D)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSubqueriesInIns()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/readBytes(int)|,"[6,5,1,1,2,1]"
|java+method:///smallsql/database/language/Language/getEntries()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StorePageMap/transfer(smallsql.database.StorePageMap.Entry%5B%5D)|,"[28,19,9,1,12,6]"
|java+method:///smallsql/database/SQLParser/createTable()|,"[61,48,13,1,17,10]"
"|java+method:///smallsql/database/SSPreparedStatement/setAsciiStream(int,java.io.InputStream,int)|","[4,3,1,3,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsSubqueriesInExists()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/IndexNode/getChildNodes()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getURL(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/MemoryResult/getRowCount()|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getNumeric()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Table/getInserts(smallsql.database.SSConnection)|,"[22,13,9,1,3,6]"
|java+method:///smallsql/database/Strings/toArray()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/SortedResult/first()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSoundex/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/getBytes(int)|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/ExpressionName/ExpressionName(java.lang.String)|,"[5,3,2,1,0,1]"
|java+method:///smallsql/database/StoreImpl/writeLong(long)|,"[13,11,2,1,9,1]"
|java+method:///smallsql/database/SSConnection/setAutoCommit(boolean)|,"[7,5,2,1,1,2]"
|java+method:///smallsql/database/Money/toBigDecimal()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getShort(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getString()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/writeBoolean(boolean)|,"[6,4,2,1,2,1]"
|java+method:///smallsql/database/Utils/long2int(long)|,"[7,6,1,1,0,1]"
|java+method:///smallsql/junit/TestJoins/tearDown()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DataSource/isExpressionsFromThisRowSource(smallsql.database.Expressions)|,"[12,6,6,1,1,3]"
